timestamp,timer_running,timer_value,session_type
2026-02-03T10:25:15.790Z,false,00:00,unknown
2026-02-03T11:07:39.444Z,false,00:00,unknown
2026-02-03T11:49:45.518Z,false,00:00,unknown
2026-02-03T12:29:49.401Z,false,00:00,unknown
2026-02-03T13:46:11.348Z,true,21:50,unknown
2026-02-03T14:34:25.331Z,true,04:24,unknown
2026-02-03T15:30:31.736Z,true,10:51,work
2026-02-03T16:29:59.154Z,false,00:00,unknown
2026-02-03T17:32:53.511Z,false,00:00,unknown
2026-02-03T18:31:40.352Z,false,00:00,unknown
2026-02-03T19:30:26.444Z,true,18:58,work
2026-02-03T20:02:42.260Z,false,00:00,unknown
2026-02-03T20:52:00.413Z,true,04:39,breakTime
2026-02-03T21:28:28.921Z,true,23:45,unknown
2026-02-03T22:00:37.815Z,false,00:00,unknown
2026-02-03T22:44:49.603Z,false,00:00,unknown
2026-02-03T23:14:55.886Z,false,00:00,unknown
2026-02-03T23:46:07.714Z,true,10:21,unknown
2026-02-04T00:01:32.394Z,true,00:05,breakTime
2026-02-04T02:49:34.773Z,false,00:00,unknown
2026-02-04T04:24:00.197Z,false,00:00,unknown
2026-02-04T05:31:16.203Z,false,00:00,unknown
2026-02-04T06:28:37.057Z,false,00:00,unknown
